SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
ARVIND,382.75,440.16,10,62.45,0.39,Consumer Cyclical,0.72
ARVINDFASN,458.75,527.56,6,61.48,1.02,Consumer Cyclical,0.45
ARVSMART,587.5,675.62,6,64.73,0.21,Real Estate,2.1
ASAHIINDIA,858.75,987.56,8,51.82,0.77,Consumer Cyclical,0.1
ASAHISONG,232.43,267.29,6,62.67,0.49,Basic Materials,0.3
ASAL,441.5,507.72,6,56.58,7.18,Consumer Cyclical,0.85
ASALCBR,814.25,936.39,6,60.91,0.13,Consumer Defensive,0.44
ASHAPURMIN,516.75,594.26,8,49.99,0.86,Basic Materials,0.97
ASHIANA,315.85,363.23,10,56.89,0.4,Real Estate,1.49
ASHIMASYN,14.82,17.04,8,55.59,0.58,Real Estate,0.51
ASHOKA,121.33,139.53,8,51.5,0.44,Industrials,1.02
ASHOKAMET,15.44,17.76,6,62.77,0.26,Basic Materials,0.59
ASHOKLEY,170.38,195.94,8,48.19,3.28,Industrials,1.04
ASIANENE,292.67,336.57,8,59.02,0.24,Energy,1.27
ASIANHOTNR,296.0,340.4,6,50.17,3.38,Consumer Cyclical,0.55
ASIANPAINT,2269.6,2610.04,8,50.83,0.18,Basic Materials,1.47
ASIANTILES,63.04,72.5,8,52.16,0.2,Industrials,0.55
ASKAUTOLTD,438.6,504.39,8,56.64,0.53,Consumer Cyclical,0.41
ASMS,8.41,9.67,8,47.41,0.01,Technology,0.53
ASPINWALL,214.08,246.19,8,50.17,0.44,Consumer Defensive,0.29
ASTEC,560.0,644.0,4,45.61,0.89,Basic Materials,0.62
ASTERDM,668.1,768.31,8,55.59,0.44,Healthcare,0.32
ASTRAL,1563.7,1798.25,6,46.29,0.07,Industrials,1.09
ASTRAMICRO,1011.05,1162.71,10,60.45,0.24,Technology,0.96
ASTRAZEN,8051.0,9258.65,2,42.98,0.04,Healthcare,0.84
ASTRON,4.47,5.14,6,64.32,0.94,Basic Materials,2.67
ATALREAL,24.94,28.68,10,58.88,0.24,Industrials,1.09
ATAM,62.73,72.14,8,58.02,0.34,Industrials,0.71
ATGL,549.9,632.39,8,55.5,0.45,Utilities,0.16
ATHERENERG,820.25,943.29,6,65.08,0.16,Consumer Cyclical,2.88
ATL,24.51,28.19,6,56.21,2.09,Industrials,0.68
ATLANTAA,40.76,46.87,6,57.59,1.52,Industrials,1.21
ATLASCYCLE,85.89,98.77,8,51.56,0.02,Consumer Cyclical,0.26
ATUL,6456.5,7424.98,10,55.46,0.03,Basic Materials,0.33
ATULAUTO,431.3,495.99,8,51.76,0.0,Consumer Cyclical,0.69
AUBANK,963.0,1107.45,8,57.61,0.0,Financial Services,0.56
AURIONPRO,820.6,943.69,8,48.32,0.02,Technology,0.63
AUROPHARMA,1340.4,1541.46,10,64.19,0.22,Healthcare,0.52
AURUM,170.26,195.8,8,50.34,0.57,Real Estate,0.56
AUSOMENT,102.53,117.91,8,52.72,0.0,Financial Services,1.16
AUTOAXLES,1688.8,1942.12,4,44.08,0.01,Consumer Cyclical,1.71
AUTOIND,64.2,73.83,6,52.24,1.54,Consumer Cyclical,0.41
AVADHSUGAR,470.95,541.59,10,61.8,0.56,Consumer Defensive,0.45
AVALON,1046.55,1203.53,8,64.03,0.25,Technology,1.84
AVANTEL,147.74,169.9,8,60.99,0.09,Technology,0.88
AVANTIFEED,1286.0,1478.9,10,57.49,0.0,Consumer Defensive,0.78
AVG,153.73,176.79,6,52.84,1.09,Industrials,0.29
AVL,475.9,547.28,8,53.37,0.65,Consumer Cyclical,0.83
AVONMORE,11.89,13.67,6,45.44,0.05,Financial Services,2.54
AVROIND,113.77,130.84,2,41.43,0.27,Consumer Cyclical,0.75
AVTNPL,62.35,71.7,8,55.91,0.19,Basic Materials,0.41
AWFIS,310.81,357.43,4,59.96,2.91,Industrials,0.51
AWHCL,510.65,587.25,6,63.6,0.55,Industrials,15.33
AWL,177.1,203.67,4,42.69,0.11,Consumer Defensive,0.44
AXISBANK,1318.5,1516.28,10,58.49,0.0,Financial Services,0.75
AXISCADES,1712.8,1969.72,8,68.13,0.37,Industrials,0.85
AXITA,8.92,10.26,10,52.27,0.34,Consumer Cyclical,0.4
AYMSYNTEX,185.64,213.49,8,51.01,0.41,Consumer Cyclical,0.36
AZAD,1672.9,1923.84,10,64.09,0.21,Industrials,0.85
BAFNAPH,136.13,156.55,6,67.4,0.36,Healthcare,1.96
BAGFILMS,5.16,5.93,6,60.79,0.6,Communication Services,3.57
BAIDFIN,10.97,12.62,8,53.41,0.0,Financial Services,0.34
BAJAJ-AUTO,9517.0,10944.55,10,56.95,0.57,Consumer Cyclical,1.39
BAJAJCON,392.85,451.78,10,62.56,0.03,Consumer Defensive,0.86
BAJAJELEC,359.8,413.77,8,49.12,0.85,Consumer Cyclical,0.18
BAJAJFINSV,1767.7,2032.85,6,48.81,2.38,Financial Services,0.82
BAJAJHCARE,324.05,372.66,8,53.25,0.49,Healthcare,0.37
BAJAJHFL,83.89,96.47,6,54.88,4.44,Financial Services,0.49
BAJAJHIND,17.47,20.09,8,60.97,0.87,Consumer Defensive,1.03
BAJAJHLDNG,9912.5,11399.38,8,52.53,0.0,Financial Services,0.87
BAJAJINDEF,254.61,292.8,8,55.6,0.02,Industrials,0.51
BAJEL,160.99,185.14,8,54.04,0.16,Utilities,0.05
BAJFINANCE,903.25,1038.74,6,52.94,3.1,Financial Services,0.75
BALAJEE,30.44,35.01,6,62.11,0.63,Consumer Cyclical,0.29
BALAJITELE,92.02,105.82,8,54.1,0.04,Communication Services,1.08
BALAMINES,1066.05,1225.96,8,51.97,0.02,Basic Materials,0.85
BALAXI,22.96,26.4,8,62.17,0.1,Healthcare,0.91
BALKRISHNA,16.71,19.22,8,58.52,0.0,Consumer Cyclical,0.3
BALKRISIND,2220.9,2554.03,8,50.63,0.35,Consumer Cyclical,1.42
BALMLAWRIE,167.25,192.34,8,53.47,0.12,Industrials,0.69
BALPHARMA,76.7,88.2,4,63.78,1.98,Healthcare,0.48
BALRAMCHIN,477.7,549.36,4,48.02,0.2,Consumer Defensive,0.38
BALUFORGE,469.35,539.75,8,55.48,0.07,Industrials,0.79
BANARBEADS,107.8,123.97,6,46.59,0.27,Consumer Cyclical,0.98
BANARISUG,3618.5,4161.27,8,50.68,0.01,Consumer Defensive,0.15
BANCOINDIA,566.25,651.19,8,50.94,0.45,Consumer Cyclical,0.61
BANDHANBNK,165.94,190.83,10,54.78,0.0,Financial Services,0.73
BANG,33.48,38.5,8,46.35,0.35,Consumer Cyclical,0.6
BANKA,65.82,75.69,4,72.06,1.06,Industrials,0.62
BANKBARODA,274.24,315.38,10,48.94,0.0,Financial Services,1.27
BANKINDIA,144.29,165.93,6,44.87,0.0,Financial Services,1.16
BANSALWIRE,265.47,305.29,8,57.47,0.44,Basic Materials,0.35
BANSWRAS,106.51,122.49,6,48.53,0.9,Consumer Cyclical,0.25
BASF,3543.6,4075.14,8,56.74,0.04,Basic Materials,0.82
BASML,22.25,25.59,8,58.35,0.96,Consumer Cyclical,0.24
BATAINDIA,701.2,806.38,8,50.4,0.9,Consumer Cyclical,0.52
BAYERCROP,4808.9,5530.23,8,59.92,0.03,Basic Materials,2.36
BBL,2403.1,2763.57,8,55.66,0.09,Industrials,0.48
BBOX,488.0,561.2,6,48.14,1.15,Technology,0.55
BBTC,1445.4,1662.21,4,42.17,0.3,Consumer Defensive,1.69
BBTCL,177.48,204.1,6,53.1,1.99,Consumer Cyclical,2.73
BCG,9.62,11.06,8,53.66,0.0,Communication Services,0.87
BCLIND,31.99,36.79,8,63.0,0.74,Consumer Defensive,0.69
BCONCEPTS,248.17,285.4,6,54.72,2.39,Consumer Cyclical,0.2
BDL,1325.5,1524.32,8,57.57,0.0,Industrials,1.51
BEARDSELL,24.23,27.86,8,50.32,0.36,Industrials,1.2
BECTORFOOD,188.63,216.92,8,46.3,0.15,Consumer Defensive,0.81
BEDMUTHA,113.93,131.02,6,48.28,1.52,Basic Materials,0.38
BEL,439.75,505.71,10,55.44,0.0,Industrials,1.13
BELRISE,202.23,232.56,8,62.68,0.29,Consumer Cyclical,1.76
BEML,1602.7,1843.1,8,54.69,0.24,Industrials,1.23
BEPL,90.48,104.05,8,60.25,0.0,Basic Materials,1.13
BERGEPAINT,435.0,500.25,8,52.49,0.11,Basic Materials,0.74
BESTAGRO,16.45,18.92,6,58.82,0.54,Basic Materials,0.85
BETA,1417.0,1629.55,8,62.53,0.66,Healthcare,0.39
BFINVEST,381.4,438.61,8,54.37,0.0,Financial Services,0.56
BFUTILITIE,437.2,502.78,8,49.96,0.0,Industrials,0.47
BGRENERGY,299.3,344.19,10,52.67,0.0,Industrials,0.85
BHAGCHEM,220.77,253.89,8,61.71,0.27,Basic Materials,0.28
BHAGERIA,154.72,177.93,8,55.42,0.13,Basic Materials,0.59
BHAGYANGR,184.97,212.72,4,69.2,1.63,Basic Materials,9.56
BHANDARI,3.07,3.53,8,55.5,0.65,Consumer Cyclical,2.34
BHARATFORG,1739.4,2000.31,8,51.81,0.71,Consumer Cyclical,1.38
BHARATGEAR,99.45,114.37,8,52.2,0.64,Consumer Cyclical,1.12
BHARATRAS,1468.1,1688.31,6,54.96,0.08,Basic Materials,0.68
BHARATSE,176.74,203.25,10,57.3,0.64,Consumer Cyclical,0.94
BHARATWIRE,169.48,194.9,8,55.1,0.13,Basic Materials,0.76
BHARTIARTL,1859.4,2138.31,8,51.48,1.17,Communication Services,0.95
BHARTIHEXA,1530.6,1760.19,6,45.01,0.95,Communication Services,0.53
BHEL,277.2,318.78,8,61.08,0.45,Industrials,2.77
BIGBLOC,47.78,54.95,6,47.06,1.4,Industrials,0.55
BIKAJI,639.9,735.89,8,55.24,0.19,Consumer Defensive,0.53
BIL,728.4,837.66,8,49.17,1.04,Consumer Cyclical,0.63
BILVYAPAR,6.18,7.11,8,55.22,0.0,Basic Materials,0.38
BIOCON,345.7,397.56,2,37.43,0.5,Healthcare,0.53
BIOFILCHEM,33.18,38.16,8,60.16,0.0,Healthcare,1.1
BIRLACABLE,127.46,146.58,8,52.04,0.42,Technology,1.4
BIRLACORPN,931.2,1070.88,8,55.8,0.45,Basic Materials,0.4
BIRLAMONEY,126.68,145.68,6,59.14,6.58,Financial Services,1.08
BIRLANU,1421.5,1634.72,8,53.63,0.88,Industrials,0.44
BLACKBUCK,566.75,651.76,2,44.02,0.04,Technology,0.45
BLAL,170.4,195.96,8,48.9,0.0,Financial Services,0.42
BLBLIMITED,16.9,19.43,10,54.65,0.0,Financial Services,0.13
BLISSGVS,254.07,292.18,6,68.52,0.04,Healthcare,1.46
BLKASHYAP,47.82,54.99,6,49.55,0.59,Industrials,0.68
BLS,286.91,329.95,8,58.99,0.17,Industrials,0.82
BLSE,162.61,187.0,8,57.98,0.01,Industrials,0.12
BLUECOAST,23.23,26.71,6,62.02,0.0,Consumer Cyclical,0.66
BLUEDART,5045.1,5801.87,6,45.1,0.0,Industrials,1.02
BLUEJET,369.9,425.38,8,50.26,0.02,Healthcare,0.6
BLUESTARCO,1655.6,1903.94,2,44.21,0.33,Industrials,0.99
BLUSPRING,65.28,75.07,4,68.35,0.32,Industrials,0.61
BODALCHEM,64.84,74.57,8,73.46,0.77,Basic Materials,0.58
BOHRAIND,17.02,19.57,6,46.48,0.02,Basic Materials,0.04
BOMDYEING,106.64,122.64,8,51.48,0.0,Consumer Cyclical,0.64
BORANA,335.3,385.59,6,45.96,0.18,Consumer Cyclical,1.23
BOROLTD,242.68,279.08,8,53.07,0.09,Consumer Cyclical,0.1
BORORENEW,450.2,517.73,6,56.85,0.23,Technology,1.02
BOROSCI,114.12,131.24,8,62.29,0.02,Consumer Cyclical,0.24
BOSCHLTD,36770.0,42285.5,6,67.87,0.01,Consumer Cyclical,5.47
BPCL,297.35,341.95,6,43.35,0.56,Energy,1.09
BPL,47.56,54.69,8,48.55,0.72,Technology,0.97
BRIGADE,701.05,806.21,8,53.02,0.76,Real Estate,0.4
BRITANNIA,5475.0,6296.25,2,38.54,0.58,Consumer Defensive,1.47
BRNL,20.36,23.41,8,58.66,0.77,Industrials,0.48
BROOKS,71.57,82.31,8,62.58,0.07,Healthcare,0.42
BSE,3257.4,3746.01,6,66.44,0.0,Financial Services,1.54
BSHSL,97.02,111.57,8,57.53,0.25,Basic Materials,0.46
BSL,113.46,130.48,2,43.19,3.66,Consumer Cyclical,1.6
BSOFT,373.35,429.35,8,52.69,0.04,Technology,0.55
BTML,6.6,7.59,8,50.11,0.32,Communication Services,0.51
BUTTERFLY,619.9,712.89,6,50.89,0.03,Consumer Cyclical,0.11
BVCL,42.5,48.87,6,58.38,0.29,Basic Materials,1.06
BYKE,38.08,43.79,8,53.02,0.46,Consumer Cyclical,0.19
CALSOFT,11.62,13.36,2,40.65,0.02,Technology,0.62
CAMLINFINE,104.07,119.68,2,34.44,0.78,Basic Materials,1.99
CAMPUS,237.59,273.23,8,50.32,0.48,Consumer Cyclical,0.6
CAMS,699.05,803.91,6,59.66,0.06,Technology,0.99
CANBK,137.91,158.6,10,50.98,0.0,Financial Services,0.91
CANFINHOME,841.3,967.49,8,50.91,6.59,Financial Services,0.93
CANTABIL,229.31,263.71,4,39.1,1.26,Consumer Cyclical,1.17
CAPACITE,225.28,259.07,8,52.51,0.23,Industrials,0.15
CAPITALSFB,260.77,299.89,8,62.29,0.0,Financial Services,0.28
CAPLIPOINT,1662.0,1911.3,8,54.35,0.0,Healthcare,0.83
CAPTRUST,13.16,15.13,6,62.12,1.34,Financial Services,0.8
CARBORUNIV,855.25,983.54,8,61.86,0.08,Industrials,0.54
